ID,談話関係,Arg1（1つ目の文）,Arg2（2つ目の文）
w201106-0002500291,原因・理由(順方向),そのソウルフルかつ圧倒的な歌唱力で多くの人を魅了し、,幅広い層からの支持を得ている。
w201106-0002500217,原因・理由(順方向),うん、やっぱり橋下さん好きです。,がんばってほしいな。
w201106-0002900223,条件(順方向),アルミワイヤーや銅線、真鍮線等の細い物を切る際、,切断面の切り口が尖がってしまう従来のニッパー。
w201106-0002900223,逆接・譲歩(順方向),切断面の切り口が尖がってしまう従来のニッパー。,本ワイヤーアートニッパーは切断面を平らに切断する事が可能です！
w201106-0001750121,談話関係なし  目的(逆方向):少数意見,自宅サロンを拠点に、契約挙式ホテル、イベント、出張ネイルをしています。,生活と心に彩るネイルを目指します。
w201106-0001750121,原因・理由(順方向),自宅サロンを拠点に、契約挙式ホテル、イベント、出張ネイルをしています。,お気軽にお問い合わせ下さい。
w201106-0001750121,談話関係なし  原因・理由(順方向):少数意見,生活と心に彩るネイルを目指します。,お気軽にお問い合わせ下さい。
w201106-0001750121,談話関係なし  原因・理由(順方向):少数意見,カルジェル、バイオ、アクセンツなど取り扱い、,お気軽にお問い合わせ下さい。
w201106-0001453523,原因・理由(逆方向),やっぱり、秋に緑色は似合わない。,わたしの着ている緑色のカーディガンの袖が視界の中央、居心地悪そうに浮かび上がる。
w201106-0001453523,原因・理由(逆方向),そう思わずにいられない。,わたしの着ている緑色のカーディガンの袖が視界の中央、居心地悪そうに浮かび上がる。
w201106-0001111466,逆接・譲歩(順方向),ミネラルウォーターやビール、ジュースはまとめ買いをしておくのが便利ですが、,かさばるので
w201106-0001111466,逆接・譲歩(順方向),ミネラルウォーターやビール、ジュースはまとめ買いをしておくのが便利ですが、,置き場所に困ってしまいます。
w201106-0001111466,原因・理由(順方向),かさばるので,置き場所に困ってしまいます。
w201106-0001111466,原因・理由(順方向),かさばるので,基本的には、これらのストックは納戸にしまっておくのがよいでしょう。
w201106-0001111466,逆接・譲歩(順方向),置き場所に困ってしまいます。,ただ、何本かはキッチンまわりの引出しや収納棚に入れておいてもよいですね。
w201106-0001111466,逆接・譲歩(順方向),基本的には、これらのストックは納戸にしまっておくのがよいでしょう。,ただ、何本かはキッチンまわりの引出しや収納棚に入れておいてもよいですね。
w201106-0002100384,条件(順方向),ボールについたロープを使えば、,簡単に遠くに投げることができます。
w201106-0002100389,目的(順方向),２０１０年夏に、ＪＲ東海が飯田線に観光列車「そよ風トレイン１１７」を走らせるために、,Ｓ９編成を改造したものである。
w201106-0002100389,談話関係なし  原因・理由(順方向):少数意見,Ｓ９編成を改造したものである。,車内から沿線の風景や風を楽しめるようになっている。
w201106-0001936431,条件(順方向),このシーズンになると、,いつもは閑静な住宅街も、イルミネーションで華やかに飾られます。
w201106-0001936431,談話関係なし  原因・理由(順方向):少数意見,いつもは閑静な住宅街も、イルミネーションで華やかに飾られます。,写真におさめる家庭もあるとか。
w201106-0001936431,目的(逆方向)  談話関係なし:少数意見,このイルミネーションをプロのカメラマンに頼んで,写真におさめる家庭もあるとか。
w201106-0002100069,原因・理由(順方向),久しぶりに夫の親友から電話があった。,長々と話していて
w201106-0002100069,原因・理由(順方向),久しぶりに夫の親友から電話があった。,夫の足は浮足立っていた。
w201106-0002100069,原因・理由(順方向),長々と話していて,でもそのあと夫は深夜遅くまで勉強していた。
w201106-0000119495,目的(順方向),生乳本来の風味と栄養を大切にするため、,低温殺菌を行っているおいしい牛乳です。
w201106-0001752087,逆接・譲歩(順方向)  逆接・譲歩(逆方向):少数意見,保育園では障害のある子供もない子供も一緒に元気に育ちます。,障害児の受け入れには自治体によって制限を設けている所もあります。
w201106-0001752087,原因・理由(順方向),入園には一定の条件があるので,事前に確認が必要です。
w201106-0001752087,原因・理由(逆方向)  談話関係なし:少数意見,事前に確認が必要です。,障害児の受け入れには自治体によって制限を設けている所もあります。
w201106-0002300293,逆接・譲歩(順方向),つまりホーム別１・２番線、３・４番線はそれぞれ同じであるが、,下段の案内が流れるタイミングは異なる。
w201106-0002300293,逆接・譲歩(順方向),列車入線前には下段に「電車がまいります」との表示が出るが、,それが上段に表示されている列車であるとは限らない。
w201106-0001074437,原因・理由(逆方向)  談話関係なし:少数意見,独特な食文化をもつ。,日本と沖縄の両方から影響を受け、
w201106-0001074437,原因・理由(順方向)  談話関係なし:少数意見,日本と沖縄の両方から影響を受け、,黒砂糖、豚肉を使った料理が多い。
w201106-0002300296,逆接・譲歩(順方向),確実に街並みは変貌しているが、,残して欲しいモノは残ってたりして。
w201106-0002300352,原因・理由(順方向),ひじきたっぷりで、,おいしい〜！
w201106-0002300352,原因・理由(順方向),ひじきたっぷりで、,体にもうれしい掻き揚げです。
w201106-0002400280,談話関係なし  原因・理由(順方向):少数意見,もう１０月です。,そしてここタイの雨季もあと１ヶ月の我慢です。
w201106-0000687023,原因・理由(順方向),又、当店は、オフィス街に位置しているという事もあり,法人様を多数担当させていただいております。
w201106-0000312992,原因・理由(逆方向),１２月の作成分をもう始めています。,バタバタするのがイヤなので・・・。
w201106-0000406275,原因・理由(順方向),フリーキャッシュフローは企業が提出する決算書には出てきませんので、,自分たちで算出する必要があります。
w201106-0001522322,条件(順方向),ずっとこのままでいられたら,幸せだ。
w201106-0001522322,原因・理由(順方向),幸せだ。,その後もパパとの関係を崩さないように努力した。
w201106-0001522322,原因・理由(順方向),幸せだ。,もちろん彼には写真を見てしまった事なんか絶対に打ち明けられないと思った。
w201106-0001522322,原因・理由(順方向),僕にはそれが分かっていたから、,その後もパパとの関係を崩さないように努力した。
w201106-0001522322,談話関係なし  原因・理由(順方向):少数意見,僕にはそれが分かっていたから、,もちろん彼には写真を見てしまった事なんか絶対に打ち明けられないと思った。
w201106-0001522322,談話関係なし  原因・理由(順方向):少数意見,その後もパパとの関係を崩さないように努力した。,もちろん彼には写真を見てしまった事なんか絶対に打ち明けられないと思った。
w201106-0001546150,談話関係なし  逆接・譲歩(順方向):少数意見,常陸の国の出身ですが、,鎌倉で万葉集の研究をし、
w201106-0000158200,談話関係なし  逆接・譲歩(逆方向):少数意見,不正利用される場合があります。,実際にクレジットカードがなくても、
w201106-0000158200,原因・理由(順方向),不正利用される場合があります。,他人に不正使用されないように、きちんと自分で処分しましょう。
w201106-0000158200,逆接・譲歩(順方向),実際にクレジットカードがなくても、,ご利用控えに載っている情報から通信販売などで悪用される事件が多発しています。
w201106-0000158200,原因・理由(順方向),ご利用控えに載っている情報から通信販売などで悪用される事件が多発しています。,他人に不正使用されないように、きちんと自分で処分しましょう。
w201106-0001763494,原因・理由(順方向),メールアドレスが不備で,メールをお送りできませんでした。
w201106-0001629631,原因・理由(順方向)  逆接・譲歩(順方向):少数意見,北海道ではまだ馴染みの薄いレストラン・ウェディングだ。,可能性は無限に広がる。
w201106-0000067136,条件(順方向)  談話関係なし:少数意見,名入れタオルをご注文頂いてから、,最短４日後にお手元にお届け致します。
w201106-0002400057,談話関係なし  原因・理由(順方向):少数意見,夏休み、,ハリー・ポッターは唯一の身寄りであるダーズリー家へ帰省していた。
w201106-0002300059,原因・理由(逆方向),今のところラッピングサービスはしておりません。,当店は零細ショップですので、
w201106-0002300059,原因・理由(順方向),当店は零細ショップですので、,簡易梱包にて出荷させていただいております。
w201106-0001118658,談話関係なし  対比(方向なし):少数意見,小学生では１０万人当たり６人ですが、,中学生になると約１９人、症例の９割には肥満ありとの報告でした。
w201106-0001413580,条件(順方向),よって申請時に一定の要件を満たせば,ほぼ１００％受給できます。
w201106-0001696274,逆接・譲歩(順方向),円形脱毛症とは、どの年齢でも起こりうる病気です。,しかし、原因がはっきりとはわかってはいません。
w201106-0001696274,逆接・譲歩(順方向)  逆接・譲歩(逆方向):少数意見,ストレスが誘引ではないかと考えられています。,しかし、原因がはっきりとはわかってはいません。
w201106-0000616585,談話関係なし  対比(方向なし):少数意見,日本一、湧出量の多い温泉地は大分県の別府だ。,２位も大分県の湯布院で、
w201106-0001582590,原因・理由(順方向)  談話関係なし:少数意見,お祝いに「羽衣」の天人の人形を頂いた。,新居の玄関に飾り、
w201106-0001582590,原因・理由(順方向),新居の玄関に飾り、,朝夕、目にした。
w201106-0000806979,原因・理由(順方向)  談話関係なし:少数意見,作図問題やユニークな論証など、良問で有名です。,通常の塾のテキストに加えて、思考力を身につけることが必要です。
w201106-0000173328,原因・理由(順方向)  談話関係なし:少数意見,山形新聞社では掲載記事を１９９９年１２月２０日付からデータベースとして蓄積しています。,目的の記事を簡単に見つけられます。
w201106-0000173328,原因・理由(順方向),検索は、入力された言葉が記事中で使われているかどうかで探しますので、,目的の記事を簡単に見つけられます。
w201106-0001404718,逆接・譲歩(順方向),カリキュラムはありますが、,ご自分のペースでじっくりと取り込むことができます。
w201106-0002800334,談話関係なし  その他根拠(順方向):少数意見,ご存知のようにおすぎとピーコは双子である。,半顔史を研究するうえでは貴重な文献といえるだろう。
w201106-0002800334,その他根拠(順方向)  原因・理由(順方向):少数意見,また、この本の発行が１９７９年というのも、半顔のサンプルとしてはかなり古いもので、,半顔史を研究するうえでは貴重な文献といえるだろう。
w201106-0002500102,談話関係なし  原因・理由(順方向):少数意見,現在はハンガリーのみで公用語となっている。,ハンガリーでは住民の９３．６％（２００２年）がハンガリー語を話し、
w201106-0002500102,談話関係なし  原因・理由(順方向):少数意見,現在はハンガリーのみで公用語となっている。,国語化している。
w201106-0002500102,談話関係なし  原因・理由(順方向):少数意見,ハンガリーでは住民の９３．６％（２００２年）がハンガリー語を話し、,国語化している。
w201106-0000263204,原因・理由(順方向),乳がんの約９０％はこの乳管から発生し、,乳管がんと呼ばれます。
w201106-0001787887,逆接・譲歩(順方向),色々な想いがありますが,一番は自分がこのクラブでプレーしたい。
w201106-0001787887,原因・理由(順方向),一番は自分がこのクラブでプレーしたい。,その一心で決断しました。
w201106-0001787887,原因・理由(逆方向)  談話関係なし:少数意見,一番は自分がこのクラブでプレーしたい。,まだまだ学ぶ事もたくさんありますし
w201106-0001787887,談話関係なし  原因・理由(順方向):少数意見,その一心で決断しました。,広島で成長していきたいと思います。
w201106-0001787887,原因・理由(順方向),まだまだ学ぶ事もたくさんありますし,広島で成長していきたいと思います。
w201106-0001357845,原因・理由(順方向),駅から徒歩３分、家庭的な雰囲気のふる里のお宿です。,ビジネス、観光にご利用ください。
w201106-0001357845,談話関係なし  原因・理由(順方向):少数意見,駅から徒歩３分、家庭的な雰囲気のふる里のお宿です。,お一人の方も歓迎、
w201106-0001357845,原因・理由(逆方向),ビジネス、観光にご利用ください。,お一人の方も歓迎、
w201106-0001357845,原因・理由(逆方向),ビジネス、観光にご利用ください。,長期滞在の方の宿泊もご相談に応じます。
w201106-0000810058,原因・理由(順方向),試合告知用のポスター（６／２４〜）が完成しました。,このポスターを、ご近所・行き付けの場所などに掲示していただける方にお渡しします。
w201106-0000810058,原因・理由(順方向),試合告知用のポスター（６／２４〜）が完成しました。,ぜひ、告知にご協力ください。
w201106-0000810058,原因・理由(順方向),このポスターを、ご近所・行き付けの場所などに掲示していただける方にお渡しします。,ぜひ、告知にご協力ください。
w201106-0000117701,原因・理由(順方向),節税対策の基本について「節税対策チェックリスト」をご用意しました。,皆様の節税対策にお役立てください。
w201106-0000117701,談話関係なし  原因・理由(逆方向):少数意見,皆様の節税対策にお役立てください。,銀行出身者ならではの資金調達のコツをご紹介します。
w201106-0002400379,談話関係なし  条件(順方向):少数意見,少し冷ましたお湯で煎れてみて下さい。,決して上級茶に引けを取らない味・コクのあるお茶です。
w201106-0002200305,逆接・譲歩(順方向),その多くはステロイド化合物であるが、,似た分子形状の為にステロイド受容体に作用しうる非ステロイド分子も含まれる。
w201106-0002200305,逆接・譲歩(順方向)  対比(方向なし):少数意見,受容体作用の点でいくつかの合成ステロイドは天然型ステロイドよりも弱いが、,あるものは天然型以上に強いものもある。
w201106-0000501860,逆接・譲歩(順方向),まだ最終回の放送前ですが,『崖っぷちのエリー』の打ち上げがありました。
w201106-0000501860,原因・理由(逆方向),『崖っぷちのエリー』の打ち上げがありました。,実は先週、浅間神社のシーン撮影でクランクアップしていたのです。
w201106-0001372449,逆接・譲歩(順方向)  談話関係なし:少数意見,定期的に開催されている行事を取りあげています。,開催時期、内容、会場などは変更されることもありますので、
w201106-0001372449,原因・理由(順方向),開催時期、内容、会場などは変更されることもありますので、,主催者に直接お問い合わせください。
w201106-0000420410,原因・理由(順方向)  談話関係なし:少数意見,投資や株は、常に変動しています。,情報を取り入れなければなりません。
w201106-0000420410,原因・理由(順方向),投資や株は、常に変動しています。,自分が知りたい情報だけを取り入れる必要があります。
w201106-0000420410,目的(順方向),その変動を読み取るには,情報を取り入れなければなりません。
w201106-0000420410,目的(順方向),その変動を読み取るには,自分が知りたい情報だけを取り入れる必要があります。
w201106-0000303654,談話関係なし  逆接・譲歩(逆方向):少数意見,明日の朝（１０時くらいですかね）、リニューアルオープンの予定です。,すごく大きな変化ではないかもしれませんが、
w201106-0000303654,談話関係なし  原因・理由(順方向):少数意見,明日の朝（１０時くらいですかね）、リニューアルオープンの予定です。,ぜひ、新しくなったフランチェスカをご覧いただけましたら
w201106-0000303654,逆接・譲歩(順方向),すごく大きな変化ではないかもしれませんが、,少しすっきりしたと思います。
w201106-0000303654,談話関係なし  逆接・譲歩(順方向):少数意見,すごく大きな変化ではないかもしれませんが、,ぜひ、新しくなったフランチェスカをご覧いただけましたら
w201106-0000380220,原因・理由(順方向),今年も茨城県立県民文化センターにおいてイルミネーションの点灯を実施いたします。,是非とも県民文化センターにお越しいただき、
w201106-0000380220,原因・理由(順方向),今年も茨城県立県民文化センターにおいてイルミネーションの点灯を実施いたします。,特別なひと時を心ゆくまでお楽しみください。
w201106-0000380220,原因・理由(順方向),およそ５万球のイルミネーションが、冬の夜空に輝く幻想的な風景を演出いたします。,是非とも県民文化センターにお越しいただき、
w201106-0000380220,原因・理由(順方向),およそ５万球のイルミネーションが、冬の夜空に輝く幻想的な風景を演出いたします。,特別なひと時を心ゆくまでお楽しみください。
w201106-0002800372,逆接・譲歩(順方向),巴武蔵によるゲッター炉暴走によってメカザウルスの大半を失うも、恐竜帝国は勝利をおさめる。,しかし戦死した武蔵の本当の狙いは新ゲッターロボ完成までの時間を稼ぐことだった。
w201106-0000633579,目的(順方向),権利関係が難しくなりがちな不動産取引を、安全かつ確実にするために、,司法書士が貢献しています。
w201106-0000106658,目的(逆方向)  談話関係なし:少数意見,桐学舎の講師陣が責任を持って,指導を行います。
w201106-0002700072,逆接・譲歩(順方向)  談話関係なし:少数意見,一方、ＷＨＯ資料２０５では、騒音、オゾン、コロナについても検討されている。,しかし、コロナ放電により紫外線が発生するとの認識がないまま
w201106-0002700072,談話関係なし  逆接・譲歩(順方向):少数意見,一方、ＷＨＯ資料２０５では、騒音、オゾン、コロナについても検討されている。,議論されたのではないかと考えられる。
w201106-0002700072,逆接・譲歩(順方向),一方、ＷＨＯ資料２０５では、騒音、オゾン、コロナについても検討されている。,文面では「その騒音レベルやオゾン濃度では健康に影響を与えることはありません。」とのみ記載されている。
w201106-0002700072,談話関係なし  原因・理由(順方向):少数意見,しかし、コロナ放電により紫外線が発生するとの認識がないまま,文面では「その騒音レベルやオゾン濃度では健康に影響を与えることはありません。」とのみ記載されている。
w201106-0000419482,原因・理由(順方向),川崎市市民・こども局が製作する「児童虐待防止の啓発ポスター」に、当クラブ所属選手が採用されましたので、,お知らせ致します。
w201106-0000962088,談話関係なし  その他根拠(順方向):少数意見,空港には魅力的なスポットがたくさんそろっています。,新たな発見があるかもしれません。
w201106-0000962088,条件(順方向),ちょっと足をとめてみると、,新たな発見があるかもしれません。
w201106-0002700076,対比(方向なし)  逆接・譲歩(順方向):少数意見,現在は撤去されたが、,当時は陸橋があったので
w201106-0002700076,原因・理由(順方向),当時は陸橋があったので,高いアングルから撮影出来た。
w201106-0002800022,逆接・譲歩(順方向),２００６年オフはトレードによりミルウォーキー・バックスへ移籍したが、,開幕直前の２００６年１０月２８日に解雇された。
w201106-0000926106,談話関係なし  原因・理由(順方向):少数意見,今年もえほんフェスタを開催します。,どうぞ手にとってごらんください。
w201106-0000926106,原因・理由(順方向),会場には、テーマごとにたくさんの絵本を集めています。,どうぞ手にとってごらんください。
w201106-0002200019,原因・理由(順方向),祝日は年によって変わるものがある（※印）ので、,オーストラリア大使館のホームページで確認を。
w201106-0001787536,原因・理由(順方向),以前から計画していたホームページを開設することができ、,嬉しいかぎりである。
w201106-0001998114,逆接・譲歩(順方向),上記の広告は１ヶ月以上更新のないブログに表示されています。,新しい記事を書く事で広告が消せます。
w201106-0000064774,逆接・譲歩(逆方向)  談話関係なし:少数意見,依然として農林、土木関係を中心に被害が拡大している。,避難生活者は奥州市の１世帯４人が減ったものの
w201106-0000064774,逆接・譲歩(順方向),避難生活者は奥州市の１世帯４人が減ったものの,９５人を数える。
w201106-0000558195,談話関係なし  原因・理由(逆方向):少数意見,２泊で香川県に旅行に行ってきた。,一応おそめの夏休みである。
w201106-0000980723,条件(順方向),◎下の一覧からご覧になりたい町名をクリックしていただくと,その地区に移動します。
w201106-0001335748,原因・理由(逆方向),本日の対徳島ヴォルティス戦の公式記録で２２時頃まで得点が逆になっておりました。,入力作業時のミスによるものです。
w201106-0001979777,原因・理由(順方向),とても充実されたブログですね。,山形へ旅行の際は参考にさせて頂きます。
w201106-0000948377,原因・理由(順方向),南アメリカのチリで、マグニチュード８．８の大地震が発生しました。,気象庁では、日本への影響について調査しています。
w201106-0000948377,原因・理由(順方向),５０年前のチリ地震では、津波が日本にも到達し、,１４０人を超える死者・行方不明者が出ています。
w201106-0000948377,原因・理由(順方向)  談話関係なし:少数意見,５０年前のチリ地震では、津波が日本にも到達し、,気象庁では、日本への影響について調査しています。
w201106-0001135326,原因・理由(逆方向),最近はインターネットで借り入れの申し込みが手軽にできるようになりました。,多くの会社がオンラインからの申し込みを受け付けている。
w201106-0000232446,原因・理由(逆方向),野球のバッティングの基本、基礎の理論を解り易く解説しています。,バッティングの練習は量より質です。
w201106-0000232446,原因・理由(逆方向),また、有益なイメージ、練習方法を紹介しています。,バッティングの練習は量より質です。
w201106-0001945041,原因・理由(逆方向),是非一度お試し下さい。,当公社にて独自の製法で椿油を製造しております。
w201106-0000603673,条件(順方向),子犬は新しい環境や飼い主にも慣れて,活発に動き回るようになります。
w201106-0000603673,目的(逆方向),あらゆる機会に犬の名前を呼んで、,呼ばれているのが自分である事を覚えさせましょう。
w201106-0002700164,逆接・譲歩(順方向),もう２点くらい入っても,おかしくない内容。
w201106-0002900103,逆接・譲歩(順方向),生姜好きなのですが、,春巻きに入れるという考えがありませんでした。
w201106-0002900103,原因・理由(順方向),春巻きに入れるという考えがありませんでした。,勉強になるな〜。
w201106-0002900103,談話関係なし  その他根拠(順方向):少数意見,和風の春巻き、,さっぱりした感じで、だんなさんが好きそうです。
w201106-0000150790,逆接・譲歩(逆方向),これ、「やたき」と読みます。,私は最初、「はちたき」かと思っていました。
w201106-0001190580,談話関係なし  逆接・譲歩(順方向):少数意見,週２〜３日間、調査のアルバイトをしています。,自由な時間が沢山あります。
w201106-0001190580,談話関係なし  目的(逆方向):少数意見,週２〜３日間、調査のアルバイトをしています。,近い将来、ロングステイをしたいと考えています。
w201106-0001190580,原因・理由(順方向),このアルバイトは３時間程度ですので,自由な時間が沢山あります。
w201106-0002700282,逆接・譲歩(順方向),こちらは一度開封されておりますが,本体は未使用品になります。
w201106-0002700282,逆接・譲歩(順方向)  談話関係なし:少数意見,こちらは一度開封されておりますが,本体には問題ございません。
w201106-0002700282,逆接・譲歩(逆方向)  談話関係なし:少数意見,本体は未使用品になります。,破れ等があるございます。
w201106-0002700282,逆接・譲歩(順方向),破れ等があるございます。,本体には問題ございません。
w201106-0001335963,原因・理由(順方向)  談話関係なし:少数意見,公園内には魯迅の記念館と墓がある。,魯迅の死後「魯迅公園」と改称された。
w201106-0001335963,談話関係なし  対比(方向なし):少数意見,公園内には魯迅の記念館と墓がある。,周辺には虹口足球場があり、
w201106-0001335963,逆接・譲歩(順方向),設置当初は「虹口公園」だったが,魯迅の死後「魯迅公園」と改称された。
w201106-0001335963,原因・理由(順方向),周辺には虹口足球場があり、,国際競技やコンサートが頻繁に開催されている。
w201106-0002100000,目的(逆方向)  談話関係なし:少数意見,これに対してポーランド貴族（シュラフタ）は、マーリアの妹ヘドヴィグ（ヤドヴィガ）を女王に推戴して,同君連合を解消する。
w201106-0002100000,原因・理由(逆方向),同君連合を解消する。,ルクセンブルク家はポーランドの宿敵であるドイツ騎士団の支援者だったからである。
w201106-0000373027,原因・理由(順方向),各施設・病院のホームヘルパー・介護福祉士募集内容を詳しくご紹介していますので,ご希望の条件・勤務地などご確認下さい。
w201106-0002100094,条件(順方向),曲がりくねった丸石の通りを歩けば、,あちこちにレストランやお店、タレットやタワーがあります。
w201106-0000983372,原因・理由(順方向)  談話関係なし:少数意見,やっぱり谷崎はエロいなあ。,谷崎作品は、広辞苑に載っている意味での「変態」だと思う。
w201106-0000983372,原因・理由(逆方向),谷崎作品は、広辞苑に載っている意味での「変態」だと思う。,なんかこう、隠微な感じがする。
w201106-0002400201,談話関係なし  原因・理由(順方向):少数意見,この感覚に麻痺して,酔い痴れてしまっているのだ。
w201106-0002400201,談話関係なし  原因・理由(順方向):少数意見,酔い痴れてしまっているのだ。,早く細胞にまで浸透させなくては！！
w201106-0001110755,原因・理由(順方向),入試、カリキュラム、就職、奨学金・学生支援、実学臨床教育紹介の個別相談コーナーや在学生とのフリートークも開催中。,受験生のみなさんはもちろん、高校１、２年生や保護者のみなさんの参加もお待ちしております。
w201106-0001862016,逆接・譲歩(順方向),出張のため、オフィスをお休みさせて頂きます。,お問い合わせメールのお返事は出張先から対応させて頂きます。
w201106-0001862016,逆接・譲歩(順方向),お休みはアメリカ時間６日（月）と７日（火）です。,お問い合わせメールのお返事は出張先から対応させて頂きます。
w201106-0000745410,談話関係なし  原因・理由(順方向):少数意見,今話題のタンクレストイレ「サティス」「レジオ」も体験トイレにて体感が可能です。,キッチン・浴室・洗面なども、実際に「見て、
w201106-0000745410,談話関係なし  原因・理由(順方向):少数意見,今話題のタンクレストイレ「サティス」「レジオ」も体験トイレにて体感が可能です。,触れて」使い勝手をお確かめください。
w201106-0002800220,原因・理由(順方向),透明感のある優しいフローラルな香りが心を落ち着かせます。,集中したい時などにどうぞ。
w201106-0000348228,談話関係なし  原因・理由(順方向):少数意見,閉店いたしました。,詳細は下記サイトをご覧くださいませ。
w201106-0000348228,談話関係なし  原因・理由(順方向):少数意見,「せんたくびより」としてリニューアルオープンしております。,詳細は下記サイトをご覧くださいませ。
w201106-0002600170,原因・理由(順方向),ナンバーワンのゴルフボール。,ローリーマキロイ、ルークドナルド、リーウエストウッドなど世界トップレベルのゴルファーは皆このプロＶ１を使用しています。
w201106-0002600170,原因・理由(逆方向),ナンバーワンのゴルフボール。,最高レベルの飛距離、最高レベルのスピン、最高レベルの打感が１つのボールに集約されています。
w201106-0002600170,原因・理由(逆方向),ローリーマキロイ、ルークドナルド、リーウエストウッドなど世界トップレベルのゴルファーは皆このプロＶ１を使用しています。,最高レベルの飛距離、最高レベルのスピン、最高レベルの打感が１つのボールに集約されています。
w201106-0002800018,条件(順方向),日本でもそういった形でＤＪがプレイすることができれば、,ダンスミュージックの人気にもつながると思うのですが。
w201106-0001549181,談話関係なし  原因・理由(順方向):少数意見,誠に勝手ながら、現在サーバーのメンテナンスを行っております。,メンテナンス中はインフォトップ全サービスを休止させて頂きます。
w201106-0001670983,談話関係なし  原因・理由(順方向):少数意見,ロハスな生活にあこがれつつ、,最近は手作りのものにはまっています。
w201106-0000358993,原因・理由(順方向)  談話関係なし:少数意見,４月にはイラン革命が起こり、,親米のパフラヴィー朝に代わり、イスラム国家体制を謳うイラン・イスラム共和国が樹立された。
w201106-0000358993,原因・理由(順方向)  談話関係なし:少数意見,親米のパフラヴィー朝に代わり、イスラム国家体制を謳うイラン・イスラム共和国が樹立された。,まず、その反欧米主義・シーア派中心のイスラム国家主義の方針から、西側諸国・イスラム諸国との関係は共に悪化した。
w201106-0000134954,条件(順方向),「申請書等ダウンロードサービス」をご利用いただきますと、,兵庫県の申請書（様式）等がインターネットでいつでも取り出せます。
w201106-0000134954,原因・理由(順方向)  談話関係なし:少数意見,兵庫県の申請書（様式）等がインターネットでいつでも取り出せます。,「部局別で探す」を選択してください。
w201106-0000134954,逆接・譲歩(順方向),兵庫県の申請書（様式）等がインターネットでいつでも取り出せます。,なお、このサービスでは県が使用している全ての申請書等を掲載しているものではありません。
w201106-0002600050,原因・理由(順方向),もともと懸賞とかキャンペーン申込のために始めたツイッターですので、,そういうのが多めです。
w201106-0000872368,原因・理由(順方向),製品は目に見える形で存在するので、,消費者とコミュニケーションを取りやすい。
w201106-0002000271,逆接・譲歩(順方向),やっと夏休みを消化した．,でも，近場にちょっと出かけただけで遠出はなし．
w201106-0000537306,条件(順方向),フレーム機能を使って,花の写真を効率的に見ることができます。
w201106-0000537306,原因・理由(順方向),花の写真を効率的に見ることができます。,ぜひフレーム機能をサポートしたブラウザでご覧ください。
w201106-0002000173,原因・理由(逆方向),昔から温めてきたサービス案をまずは、社内で実運用してみることにした。,自分で使ってないものは人に売るなってね。
w201106-0001513186,目的(順方向),物件の一覧を見るには,数字をクリックして下さい。
w201106-0000125787,原因・理由(順方向),日頃お世話になっている企業の皆様に、特別料金でご利用頂ける会議・研修会プランをご用意致しました。,どうぞお気軽にお問い合わせ下さい。
w201106-0000125787,原因・理由(順方向),大・小１４の会場は、あらゆるビジネスシーンにお応え致します。,どうぞお気軽にお問い合わせ下さい。
w201106-0000184572,逆接・譲歩(順方向),イスラム教徒が多いインドネシアの中で、,バリ島ではヒンドゥー教徒が多数を占める。
w201106-0000184572,その他根拠(順方向),バリ島ではヒンドゥー教徒が多数を占める。,その文化の独自性が推しはかられるだろう。
w201106-0000184572,その他根拠(逆方向),その文化の独自性が推しはかられるだろう。,人々は今もなお、宗教と密接に結びついた伝統的なスタイルで生活を営んでいる。
w201106-0002700396,逆接・譲歩(順方向),日本語では技術革新と訳されることがあるが、,イノベーションは技術の分野に留まらない。
w201106-0000164949,談話関係なし  条件(逆方向):少数意見,グループ専用のラッキーレターで貰えます。,期間は５月２日までです。
w201106-0000164949,談話関係なし  原因・理由(順方向):少数意見,春をイメージし、,花をモチーフに作った眼鏡です。
w201106-0002900091,原因・理由(順方向)  談話関係なし:少数意見,お化粧感覚で自然にサイズダウン。,憧れのスリムなボディを実現します。
w201106-0002900091,談話関係なし  条件(逆方向):少数意見,お化粧感覚で自然にサイズダウン。,ゆっくりマッサージ。
w201106-0002900091,談話関係なし  目的(順方向):少数意見,憧れのスリムなボディを実現します。,毎日のお肌のお手入れと同じように、クリームをお肌に塗って
w201106-0002900091,目的(順方向)  談話関係なし:少数意見,憧れのスリムなボディを実現します。,ゆっくりマッサージ。
w201106-0002500054,談話関係なし  逆接・譲歩(逆方向):少数意見,がんばりましょう。,喪中ですが、
w201106-0002500054,原因・理由(逆方向),がんばりましょう。,やることは山積です。
w201106-0002500054,逆接・譲歩(順方向),喪中ですが、,まだ、元気にやりますよ。
w201106-0002500054,談話関係なし  逆接・譲歩(順方向):少数意見,喪中ですが、,やることは山積です。
w201106-0002500054,原因・理由(逆方向),まだ、元気にやりますよ。,やることは山積です。
w201106-0000161486,目的(順方向),フレッツ光をはじめるために,押さえておきたいポイントをご案内します。
w201106-0000161486,談話関係なし  目的(順方向):少数意見,フレッツ光をはじめるために,ご利用中の回線から、フレッツ光へ乗り換える方法をご案内します。
w201106-0000161486,談話関係なし  目的(順方向):少数意見,フレッツ光をはじめるために,あなたにぴったりなプロバイダー選びをお手伝いします。
